x,y,cluster,comment
8.703893,10.043607,6,KeyValueStoreMemory switching to large transaction mode
7.3032107,11.483291,1,Get tenant info raw access transaction
8.58842,8.96143,0,Emergency transaction processing during recovery
6.9253345,9.374842,2,Resolver first unseen version is current version
5.912396,10.221482,2,The proxy that sent this request has the oldest current version
6.9535594,8.40987,5,Wrote SpanContextMessage to a transaction log
8.528907,10.06053,6,KeyValueStoreMemory switching to large transaction mode with committed data
6.6880703,8.369989,5,No new SpanContextMessage written to transaction logs
6.7755084,7.3998795,5,TLog moved data to persistentData
5.732506,10.069032,2,The proxy that sent this request does not have the oldest current version
5.273556,10.336241,4,getConsistentReadVersion received GetReadVersionReply delayed by proxy tag throttling
4.702154,9.989057,6,Tracking transaction tag in TransactionTagCounter
6.5324507,10.370282,7,Commit proxy failed to progress
6.4301333,10.000547,7,Terminated due to commit proxy failure
7.319532,10.643861,0,Waiting for dummy transaction to report commit_unknown_result
9.05934,8.850663,0,Master recovery from pre-existing database
6.529226,7.6967525,5,TLog stopped by recovering cluster-controller
7.5556974,9.958726,0,Queuing post-resolution commit processing
6.5142136,7.3814344,5,TLog recovery took more than 1 second
5.6322303,9.835029,7,stale GRV proxy detected
7.247781,11.273226,1,Commit of a dummy transaction in tenant keyspace
6.8352714,11.160146,1,NativeAPI commit has tenant
7.131994,11.729741,1,Tenant prefix prepend skipped for dummy transaction
4.5922613,10.289832,6,throttling transaction after getting read version
4.7728047,10.523213,4,Throttling tag before GRV request
7.457034,11.204388,1,Illegal tenant commit to special keys module
7.567932,12.010227,1,Tenant rename transaction tenant not found
7.50518,11.908992,1,Tenant rename transaction ID/name mismatch
7.528041,12.010754,1,Tenant rename transaction new name already exists
7.413655,12.092633,1,Tenant rename transaction already applied
7.64529,11.907249,1,Tenant rename transaction inside group
7.341333,9.331565,0,encrypting resolver mutations
6.600195,7.931297,5,Terminated due to tLog failure
5.80521,9.637445,7,Terminated due to GRV proxy failure
7.0706077,9.050108,7,Terminated due to resolver failure
7.5582347,8.867945,0,"Coordinated state conflict, recovery terminating"
9.247472,8.986981,3,Cluster recovery failed because of the initial commit failed
6.7505074,11.100168,1,Commit proxy tenant not found
6.5422764,10.911014,1,Commit proxy tenant not found waiting for min version
6.727131,11.278049,1,Commit proxy access invalid tenant
